Commodity  code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
5412OP,"Miscellaneous professional, scientific, and technical services",carbon dioxide,"kg/2018 USD, purchaser price",0.109,0,0.109,,3,2,1,3,1
5412OP,"Miscellaneous professional, scientific, and technical services",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
5412OP,"Miscellaneous professional, scientific, and technical services",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
5412OP,"Miscellaneous professional, scientific, and technical services",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,4,1
5415,Computer systems design and related services,carbon dioxide,"kg/2018 USD, purchaser price",0.06,0,0.06,,3,2,1,3,1
5415,Computer systems design and related services,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
5415,Computer systems design and related services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
5415,Computer systems design and related services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,5,1
55,Management of companies and enterprises,carbon dioxide,"kg/2018 USD, purchaser price",0.102,0,0.102,,3,2,1,3,1
55,Management of companies and enterprises,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
55,Management of companies and enterprises,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
55,Management of companies and enterprises,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,3,2,1,4,1
561,Administrative and support services,carbon dioxide,"kg/2018 USD, purchaser price",0.088,0,0.088,,3,2,1,3,1
561,Administrative and support services,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
561,Administrative and support services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
561,Administrative and support services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,5,1
562,Waste management and remediation services,carbon dioxide,"kg/2018 USD, purchaser price",0.274,0,0.274,,2,2,1,2,1
562,Waste management and remediation services,methane,"kg/2018 USD, purchaser price",0.044,0,0.044,,2,2,1,1,1
562,Waste management and remediation services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,1,1
562,Waste management and remediation services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.013,0,0.013,,4,2,1,5,1
61,Educational services,carbon dioxide,"kg/2018 USD, purchaser price",0.176,0,0.176,,3,2,1,3,1
